Item,2026-05-01,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-22,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-27,2026-05-28,2026-05-29,2026-05-30
Whole Milk (Liters),100,88,75,62,50,38,25,100,85,73,61,50,35,22,100,90,78,65,55,42,30,100,88,75,62,50,40,28,100,85
Free-Range Eggs (Dozen),50,30,10,0,0,0,0,50,25,5,0,0,0,0,50,35,15,0,0,0,0,50,28,8,0,0,0,0,50,30
Homemade Cheese (Wheels),20,20,19,19,19,18,18,18,18,17,17,16,16,16,16,15,15,15,14,14,14,14,13,13,13,12,12,12,12,12
Beef Mince (kg),40,38,20,10,8,7,5,40,35,15,5,4,2,0,40,39,18,8,6,5,3,40,36,20,10,8,6,5,40,38
Pork Sausages (Packs),50,45,25,15,10,5,0,50,48,22,12,8,4,0,50,42,28,18,10,6,2,50,45,25,15,12,8,4,50,40
Carrots (Bunches),80,72,65,58,50,42,35,80,75,68,60,52,45,38,80,73,65,58,50,41,33,80,72,66,59,51,44,36,80,73
Potatoes (5kg Sacks),100,95,90,85,80,75,70,100,96,91,85,80,74,68,100,94,88,82,75,70,64,100,95,90,84,78,72,66,100,95
Apples (kg),60,58,55,53,50,48,45,60,57,55,52,49,46,43,60,59,56,54,51,48,45,60,58,55,52,50,47,44,60,57
Honey (Jars),30,30,29,28,28,27,27,26,26,25,25,24,24,23,23,22,22,21,21,20,20,19,19,18,18,17,17,16,16,15
Seasonal Greens (Bags),40,35,28,20,12,5,0,40,38,30,22,15,8,2,40,34,25,18,10,5,0,40,32,24,15,8,2,0,40,30
